Produk,Rating,Ulasan,Clean_Ulasan,Sentiment,Word_Count,Char_Count,Length_Category
Xiaomi Smart Air Purifier 4 Compact,5,"Kamarku jadi lebih baik udaranya, emang agak parah di jam tertentu karena rumah disamping jalan tol dan kadang ada orang tidak bertanggung jawab membakar sampah sembarang...",kamarku jadi lebih baik udaranya emang agak parah di jam tertentu karena rumah disamping jalan tol dan kadang ada orang tidak bertanggung jawab membakar sampah sembarang,Positif,26,173,Panjang (>15 kata)
POCO C71 4+4G/128G,5,Mantul,mantul,Positif,1,6,Sangat Singkat (≤3 kata)
POCO C81 Pro (4GB/128G) (4GB/64GB),5,Mantul,mantul,Positif,1,6,Sangat Singkat (≤3 kata)
Xiaomi Redmi Note 15 (8/128 GB) (8/256 GB),5,good,good,Positif,1,4,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,beli warna violet karna Sheila Dara 💜,beli warna violet karna sheila dara,Positif,6,37,Singkat (4–8 kata)
"Xiaomi TV A 43"" FHD 2026",5,Good,good,Positif,1,4,Sangat Singkat (≤3 kata)
Xiaomi Power Bank 22.5W 10000mAh Lite,5,semoga oke,semoga oke,Positif,2,10,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,"barang Masih di segel waktu datang, pengiriman terpercaya dan aman. kondisi HP normal Dan mulus",barang masih di segel waktu datang pengiriman terpercaya dan aman kondisi hp normal dan mulus,Positif,15,95,Sedang (9–15 kata)
Xiaomi Redmi Buds 6 Play,5,nice dream,nice dream,Positif,2,10,Sangat Singkat (≤3 kata)
Xiaomi 67W Power Bank 20000mAh (Integrated Cable),5,"barang sampai dengan aman, pengiriman cepat.. berfungsi dengan baik di tes pada xiaomi 15 T turbo charging aktif..",barang sampai dengan aman pengiriman cepat berfungsi dengan baik di tes pada xiaomi 15 t turbo charging aktif,Positif,18,114,Panjang (>15 kata)
POCO M7 (8GB/256GB),5,asli resmi,asli resmi,Positif,2,10,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),4,"ada indikasi terbuka kardusnya, untung saja masih aman hp dan headphones belum ada dibuka",ada indikasi terbuka kardusnya untung saja masih aman hp dan headphones belum ada dibuka,Positif,14,89,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,hpnya keren,hpnya keren,Positif,2,11,Sangat Singkat (≤3 kata)
Xiaomi Redmi Note 15 (8/128 GB) (8/256 GB),5,"Toko cepat respon, sehari langsung sampai. Kurirnya juga amanah. Barang sesuai diskripsi dan diterima dalam kondisi tersegel. Operasional hp sampai saat ini masih aman da...",toko cepat respon sehari langsung sampai kurirnya juga amanah barang sesuai diskripsi dan diterima dalam kondisi tersegel operasional hp sampai saat ini masih aman da,Positif,25,173,Panjang (>15 kata)
